distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
30,3000,780,1600,740,2600,1520,1160,1180,1420,680,920,620,1660,880,NA,1057
30,1060,1520,1360,420,620,1260,1340,740,1075,NA,980,620,2660,680,600,1340
30,720,740,1020,640,701,1680,2620,720,1040,NA,600,740,NA,620,660,920
30,760,920,1717,1200,820,1420,1860,1080,1280,540,580,1740,2100,620,920,2099
30,640,1000,1320,980,740,1040,1240,660,980,620,960,1140,460,540,1300,580
30,740,1060,880,500,600,2015,NA,520,1060,738,620,1260,NA,980,560,900
30,1260,980,NA,660,720,1000,1380,660,838,820,760,1040,3340,NA,881,1980
30,1180,620,980,NA,340,1000,1560,980,960,840,577,940,780,660,760,620
30,1720,840,1260,580,400,1100,1480,600,1000,540,620,840,480,580,900,740
30,840,800,1200,1120,500,1360,1500,760,1180,719,2480,1040,400,NA,1580,800
30,860,800,1160,540,520,1260,1500,840,916,640,NA,980,560,560,700,680
30,520,1040,2600,780,800,1180,1860,1340,1180,480,540,1244,1200,NA,1269,640
30,680,820,1500,1420,560,1440,2300,520,1080,760,760,1100,1180,NA,660,820
30,660,1640,1540,1240,1000,1500,1137,1180,1420,720,NA,1140,660,580,1500,1080
30,660,740,1840,NA,717,1420,NA,1220,1400,740,1220,940,500,640,780,1040
30,720,760,1560,1020,460,1960,936,680,640,1140,580,820,760,480,900,2242
30,740,2580,1880,NA,660,2000,1260,700,800,618,NA,1040,540,1040,NA,800
30,1200,960,1500,740,2540,1680,1160,640,1000,NA,1020,1740,2080,660,560,2380
30,560,920,1220,540,1380,2180,1040,1200,860,1175,862,660,1000,580,920,1918
30,800,760,1100,740,714,2220,1140,720,1461,920,480,1020,560,NA,1220,800
30,520,700,1140,580,1020,1720,700,960,940,860,440,880,480,680,980,720
30,976,980,1019,560,440,2060,800,1300,880,660,1620,1060,1260,NA,1060,580
30,700,1620,1200,639,620,5080,1060,520,1400,960,775,1160,381,680,660,880
30,660,760,1175,780,880,7420,1120,540,800,460,1700,740,360,780,580,NA
30,600,740,1220,800,495,9780,680,960,780,NA,1540,800,440,1300,720,680
30,1980,1120,1200,680,600,2660,916,1100,760,600,900,740,380,580,960,NA
30,480,1800,1100,600,580,4120,NA,640,820,NA,960,NA,400,740,980,1620
30,1200,1160,2640,960,480,2600,1600,800,675,1140,540,760,320,500,1200,740
30,680,860,1200,980,460,8980,2200,1380,800,560,860,760,1180,500,900,1160
30,640,1000,1620,740,580,8600,3140,980,800,NA,660,660,760,760,1080,600
30,620,920,1058,860,660,1440,1160,500,760,680,580,760,NA,520,700,1180
30,860,800,1200,660,480,1300,1609,580,1220,700,520,779,1160,620,840,1180
30,680,2300,1477,660,460,1440,1840,560,940,NA,760,740,420,859,980,980
30,1220,700,860,620,460,1799,1460,680,960,640,740,900,NA,520,600,1120
30,600,660,740,980,440,1240,1100,1200,1080,NA,NA,640,400,NA,680,619
30,540,2380,780,780,560,1780,840,1060,700,940,680,720,480,620,717,1155
30,560,820,1160,540,440,1400,940,1120,800,660,960,780,NA,600,1080,1780
30,1442,740,1580,660,760,2140,1320,1000,680,916,880,1100,340,620,600,1980
30,479,1060,1520,637,480,1680,1100,600,640,1140,540,1020,3280,620,500,1240
30,460,920,1760,680,480,2020,1760,640,800,840,680,860,380,540,640,660
30,720,2015,1000,640,499,1080,1200,580,780,700,840,1160,2240,460,780,920
30,500,1960,3440,NA,420,1940,900,580,740,1100,540,879,480,377,660,660
30,540,740,1020,620,500,1900,620,1380,860,520,920,700,400,480,760,500
30,1340,760,780,1100,700,10320,800,600,740,NA,1220,640,600,619,460,1000
30,580,620,1540,620,540,2020,1360,500,760,940,NA,720,1320,800,760,1680
30,720,835,780,660,480,2580,1280,900,640,NA,NA,920,4460,1520,1400,860
30,560,660,1160,660,460,18260,940,520,660,860,540,700,500,880,620,520
30,679,1580,960,660,480,1580,940,1369,640,818,480,940,680,940,540,840
30,740,740,1760,520,480,2137,1400,620,1120,640,NA,680,300,1120,640,640
30,723,720,1471,640,520,2180,640,740,1100,NA,560,860,360,740,840,580
30,800,640,1340,580,980,2040,920,1180,880,NA,700,980,1940,NA,900,780
30,740,1800,1320,580,560,2880,515,640,540,1080,420,920,2659,940,880,620
30,1040,700,1700,640,400,2820,1040,520,620,NA,420,820,1480,520,680,960
30,540,920,2120,500,740,2160,2540,1080,920,660,380,1040,360,NA,580,1720
30,540,780,1460,660,620,2918,1320,580,780,800,1100,592,320,460,640,1260
30,660,980,1180,500,800,1940,1460,1000,680,1580,660,640,340,600,420,1720
30,520,1980,1060,660,460,2320,1160,980,600,NA,640,740,500,880,660,1420
30,660,720,1480,640,480,2240,1060,1180,920,NA,600,660,580,500,1460,880
30,540,720,940,620,500,2760,820,680,760,1200,NA,700,3260,480,660,NA
30,520,680,2497,580,400,4500,1100,1166,800,740,1516,700,420,NA,620,520
30,820,700,1580,660,420,1860,780,640,580,NA,860,695,840,520,980,820
30,500,1020,1000,1020,680,1880,1000,520,560,920,720,660,2280,540,640,3020
30,520,760,820,579,760,1840,860,580,900,1080,640,680,360,681,860,620
30,500,760,820,1100,500,2158,1000,1060,660,800,1060,600,380,860,480,1820
30,500,640,680,600,520,1340,1460,640,600,520,680,660,360,660,560,520
30,960,820,600,680,320,1360,860,1240,760,740,1620,760,1740,560,920,1180
30,580,760,800,640,520,2040,1580,1540,640,NA,NA,760,NA,600,NA,520
30,600,776,720,960,480,2220,1660,1840,680,800,NA,740,520,880,860,540
30,1035,660,740,520,460,1140,2180,380,460,760,480,660,540,660,960,1180
30,500,1240,959,640,760,1240,980,440,580,1280,NA,680,1360,901,460,NA
30,540,740,700,620,580,1380,1080,760,500,740,900,620,1080,600,600,1040
30,560,700,920,680,580,1200,660,1280,600,720,1000,800,460,660,1239,1900
30,639,660,659,699,376,1360,860,440,560,780,1520,600,2500,520,720,900
30,2040,680,2180,780,460,1620,860,620,860,NA,960,500,980,840,660,1300
30,540,860,1100,1180,400,1700,720,580,720,679,2720,680,400,639,560,NA
30,620,980,1420,580,560,1420,900,1160,560,1180,580,560,420,1043,NA,480
30,720,700,1500,1220,460,1280,760,660,1360,1060,1040,700,520,620,740,1000
30,600,860,1080,659,440,1980,800,480,779,740,620,740,2380,NA,460,1800
30,620,640,1320,640,340,1517,1160,560,720,560,820,640,NA,NA,700,960
30,900,800,1160,660,520,1780,1800,2760,660,600,920,640,280,1120,680,3394
30,580,740,660,780,660,1380,1280,876,580,NA,800,500,NA,580,540,620
30,700,680,1120,880,700,1980,760,458,680,980,615,695,340,NA,555,999
30,917,700,840,520,560,1600,1220,1340,700,680,580,456,920,1109,540,920
30,400,740,760,660,440,1340,1660,520,660,520,2240,580,380,640,840,1800
30,580,820,560,680,720,1600,2120,1320,620,775,3100,740,6820,1220,819,840
30,520,840,560,880,520,1420,740,500,640,NA,440,640,1200,720,840,1518
30,1040,640,1020,540,760,1420,880,460,580,880,560,740,620,760,560,NA
30,580,720,800,740,420,1540,660,420,1320,820,700,620,1180,700,660,600
30,500,740,1259,640,460,2780,1080,480,1320,741,520,660,440,700,480,480
30,760,680,980,740,460,1760,1360,640,540,NA,940,580,660,2240,700,NA
30,580,920,2260,620,760,1820,640,921,620,780,800,640,660,1059,660,NA
-30,2040,660,1560,640,420,2900,1180,1239,780,1100,720,NA,340,640,740,1100
-30,1200,1820,1240,620,1020,2820,1340,1400,999,740,720,840,3600,NA,660,1400
-30,1160,980,980,480,420,3080,NA,1000,1160,820,700,719,1540,1360,600,2237
-30,640,1077,860,1140,860,2900,1700,820,720,920,500,940,619,NA,660,1740
-30,480,1280,940,660,577,2080,1540,480,980,780,1077,800,600,899,820,1040
-30,520,2200,780,760,400,4840,1420,1440,720,1120,357,NA,580,1020,500,1420
-30,420,2760,860,760,500,2500,1400,460,1100,880,580,660,720,NA,640,960
-30,600,1000,1040,1074,3259,4100,1260,580,920,NA,NA,959,380,500,660,1040
-30,660,880,760,940,555,2220,1200,620,920,580,520,NA,340,1020,580,1300
-30,1140,980,780,760,360,1900,NA,460,680,NA,700,NA,900,980,780,780
-30,1220,1080,1200,1000,1360,2160,NA,560,940,700,800,920,2101,NA,840,880
-30,500,1420,820,700,2220,2880,NA,520,640,939,1440,560,3600,NA,901,840
-30,580,1600,820,579,320,2659,NA,460,720,NA,3720,480,260,640,1020,1840
